scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S062one_log.ext___steady,S,steady,ext_unix,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12788 regs=3236 log_rx=54900 svcs=4 mem_mib=855 memd_kills=90","(00.145712) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S063one_log.tcp___init,S,init,tcp_est,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12796 regs=3236 log_rx=54950 svcs=4 mem_mib=855 memd_kills=90","",""
S063one_log.tcp___db_open,S,db_open,tcp_est,none,none,0,normal,1,1,na,280,na,na,na,na,na,na,na,dump_fail,"up_s=12797 regs=3236 log_rx=54950 svcs=4 mem_mib=843 memd_kills=90","(00.102559) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S063one_log.tcp___log_open,S,log_open,tcp_est,none,none,0,normal,1,1,na,272,na,na,na,na,na,na,na,dump_fail,"up_s=12798 regs=3236 log_rx=54950 svcs=4 mem_mib=842 memd_kills=90","(00.079201) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S063one_log.tcp___epg_index,S,epg_index,tcp_est,none,none,0,normal,1,1,na,13588,na,na,na,na,na,na,na,dump_fail,"up_s=12804 regs=3236 log_rx=55000 svcs=4 mem_mib=855 memd_kills=90","(00.122865) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S063one_log.tcp___ready,S,ready,tcp_est,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12813 regs=3236 log_rx=55050 svcs=4 mem_mib=855 memd_kills=90","(00.140042) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S063one_log.tcp___steady,S,steady,tcp_est,none,none,0,normal,1,1,na,124,na,na,na,na,na,na,na,dump_fail,"up_s=12821 regs=3236 log_rx=55050 svcs=4 mem_mib=855 memd_kills=90","(00.132047) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S064one_log.file__init,S,init,filelocks,none,none,0,normal,1,0,0,284,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=12830 regs=3236 log_rx=55100 svcs=4 mem_mib=855 memd_kills=90","",""
S064one_log.file__db_open,S,db_open,filelocks,none,none,0,normal,1,1,na,280,na,na,na,na,na,na,na,dump_fail,"up_s=12831 regs=3236 log_rx=55100 svcs=4 mem_mib=843 memd_kills=90","(00.113426) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
S064one_log.file__log_open,S,log_open,filelocks,none,none,0,normal,1,1,na,276,na,na,na,na,na,na,na,dump_fail,"up_s=12831 regs=3236 log_rx=55100 svcs=4 mem_mib=842 memd_kills=90","(00.087964) Error (criu/sk-unix.c:874): unix: External socket is used. Consider using --ext-unix-sk option.",""
